Product Title,Description,Price,Image Source
(Set of 2) West Elm Victor armchair,"I have a (Set of 2) West Elm Victor armchair for sale. It is used in good condition.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$300,https://images.craigslist.org/00b0b_4N5cNo2CMsj_0uY0ne_600x450.jpg
Jewelry Cheval Mirror in White Finish!,"Jewelry Mirror- $250

This dual-purpose jewelry Cheval mirror adds practicality to style. It's constructed five feet high to give you plenty of area to check your look from head to toe. Opening up to a green felt-lined storage with enough shelves and a small drawer, it also serves as a jewelry armoire. A four-inch deep jewelry box is built in to hold valuable accessories like watches and bracelets. The mirror is finished in white and tilts for convenience.

Width: 18.50	Depth: 16.75	Height: 59.50	

Call or text nine two five, nine zero five, one nine eight five 

~Can deliver for $50-$75",$250,https://images.craigslist.org/00505_eH0rSN6AOxS_0aJ0ew_600x450.jpg
"West Elm Shelter Sofa 84"" Blue Like New","I have a West Elm Shelter Sofa 84"" Blue  for sale. It is opened box in like new condition.
Fabric and color: Yarn Dyed linen weave, Graphite
Size: 84.25""w x 39""d x 30""h

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$800,https://images.craigslist.org/00m0m_bqX2oKiYkI2_0gw0co_600x450.jpg
West Elm Tufted Tillary Sofa Sectional Modular,"I have a West Elm Tufted Tillary Sofa Sectional Modular for sale. It is used in good condition.

Fabric: Verona, Silver

Set includes:
1x tillary base
2x ottoman
2x back support
1x corner support

1 of the ottoman has stains on it. Can be cleaned up. Remove or rearrange back cushions to create extra lounging surface.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$850,https://images.craigslist.org/00x0x_i5l6JI7ISEM_0gw0d6_600x450.jpg
West Elm Art Display Desk,"I have a West Elm Art Display Desfor sale. It is opened box.

36""w x 22.2""d x 30""h.
Tempered glass top.
Dark Walnut: Engineered wood shelf with a walnut veneer in a Dark Walnut finish.
Steel frame in a powder-coated Antique Brass (Dark Walnut)

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$200,https://images.craigslist.org/00s0s_cZVd87LoX5A_0uY0ne_600x450.jpg
(Set of 2) West Elm Roar and Rabbit Swivel Chair Gray,"I have a (Set of 2) West Elm Roar and Rabbit Swivel Chair Gray for sale. It is used in good condition, there are scuff on the chairs.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$800,https://images.craigslist.org/00z0z_b6D0z5Ku2d8_0uY0ne_600x450.jpg
West elm mid century expandable dining table (72-92”) Pebble,"I have a West elm mid century expandable dining table (72-92”) Pebble for sale. It is new in box, box has some torn, but content will have no issue.

Overall (no leaf): 72""w x 38""d x 30""h.
Overall (with leaf): 92""w x 38""d x 30""h.
Leg spacing (long side): 54.5""–74.5"".
Leg spacing (narrow side): 28"".
Tabletop thickness: 1"".
Clearance under table: 29"".
Comfortably seats: 6–10.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$450,https://images.craigslist.org/00x0x_eGmtNjjKZ07_0fC0fe_600x450.jpg
West Elm Hamilton Leather Sofa 91” cigar,"I have a West Elm Hamilton Leather Sofa 91” cigar for sale. It is new in box.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com","$2,000",https://images.craigslist.org/00Q0Q_aJAWgnfPz3d_0g80g8_600x450.jpg
West Elm Modern Open Changing Table/ Storage Console,"I have a West Elm Modern Open Changing Table/ Storage Console   for sale. It is opened box, in like new condition.

Overall: 38""w x 18""d x 34""h.
Inner drawer: 32""w x 15""d x 4.3""h.
Top shelf: 35""w x 13.5""d x 9.5""h.
Bottom shelf: 35""w x 14.5""d x 11.5"".
Clearance underneath: 4.3"".
Product weight: 75.4 lbs.
Max. weight capacity: 50 lbs.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$250,https://images.craigslist.org/01616_h18FbKX164P_0uY0ne_600x450.jpg
Burke Decor Olga Round Buncher / Coffee table (marble top/ oak ),"I have a Burke Decor Olga Round Buncher / Coffee table (marble top/ oak ) for sale. It is opned box.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$320,https://images.craigslist.org/01111_6QwVUwVKxhu_0hq0hq_600x450.jpg
West Elm Mid-Century Pecan Dowel Mirror,"I have a West Elm Mid-Century Pecan Dowel Mirror for sale. It is opened box in excellent condition.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$200,https://images.craigslist.org/01212_dRvW5YJVioN_0kz0t2_600x450.jpg
Anthropologie Nightstand with marble top Like New(Moving sale),"Completely like new condition. Bought last year.
Product info - 

https://www.anthropologie.com/anthroliving/shop/marcelle-nightstand?color=010&type=STANDARD&size=One%20Size&quantity=1

Cash only.
pick up only.",$300,https://images.craigslist.org/00C0C_eFkZJyo8iKc_0lM0t2_600x450.jpg
West Elm Randall C side Table,"I have a West Elm Randall C side Table for sale. It is opened box, in excellent condition.

Solid oak wood top.
Steel base in a Black finish.
Overall: 28.3""w x 15.7""d x 23.6""h
Clearance: 22.2"".
Product weight: 20.9 lbs.
Weight capacity: 41 lbs.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$200,https://images.craigslist.org/01313_dVzgLhaqCnM_0uY0oN_600x450.jpg
"West Elm Emmerson Expandable Dining Table 72""-93"" Pine","I have a West Elm Emmerson Expandable Dining Table 72""-93"" Pine for sale. It is used in good condition.

Dimensions: 72""-93""w x 39""d x 30""h
Table expands via drop-in leaf.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$640,https://images.craigslist.org/00j0j_c5L2hLhKNqc_0uY0ne_600x450.jpg
West Elm Mid Century Smart wall desk white,"I have a West Elm Mid Century Smart wall desk white for sale. It is opened box, in good condition, there is multiples spot of blemishes. Cover plate for hiding the power plug is missing.  The power plug is working.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$300,https://images.craigslist.org/00505_f3UHxI5QkMF_0lM0t2_600x450.jpg
"West Elm Andes Chair (Velvet, Ink Blue)","I have a West Elm Andes Chair (Velvet, Ink Blue)for sale. It is used for staging in excellent condition - minor scuff on the chair.

Fabric and Color: Performance Velvet, Ink Blue

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$540,https://images.craigslist.org/00E0E_6AFahny6ULG_0uY0rQ_600x450.jpg
(Set of  2) West Elm Mid Century Swivel Counter Stool (Navy),"I have a (Set of  2) West Elm Mid Century Swivel Counter Stool (Navy) for sale.  Set comes with 2 chairs. 1 stool is new in box, another is opened box.

Dimensions: 19.75""w x 21.25""d x 38""h.
Seat Height: 26.6"".
Ludlow Leather, Navy

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$660,https://images.craigslist.org/00e0e_1df4beEWoQo_0uY0ne_600x450.jpg
West Elm Crescent Swivel Chair Ocean,"I have a West Elm Crescent Swivel Chair Ocean for sale. It is opened box. 

Fabric, Color: Performance Basketslub, Ocean blue

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$340,https://images.craigslist.org/00F0F_8xQ9KlX5h7W_0bs0bs_600x450.jpg
